GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
edtech-api,com.edtech.service,AuditTrailCsvExporter,15,189,11,19,2,29,11,8,0,4
edtech-api,com.edtech.service,InvalidCredentialsException,0,4,0,0,0,2,0,1,0,1
edtech-api,com.edtech.service,DocumentService,260,569,8,34,56,142,20,33,13,19
edtech-api,com.edtech.service,UserService,56,187,9,17,13,44,8,12,2,5
edtech-api,com.edtech.service,InvalidInstitutionalEmailException,0,4,0,0,0,2,0,1,0,1
edtech-api,com.edtech.service,GcsStorageServiceImpl,0,65,0,0,0,17,0,5,0,5
edtech-api,com.edtech.service,LaboratoryTokenService,114,9,4,0,16,4,4,1,2,1
edtech-api,com.edtech.service,AuditLogService,14,83,1,7,3,21,2,8,1,5
edtech-api,com.edtech.service,AuditExportService,0,85,0,6,0,23,0,9,0,6
edtech-api,com.edtech.service,JwtService,13,86,1,3,3,22,2,7,1,6
edtech-api,com.edtech.service,NotificationService,25,10,0,0,7,4,2,2,2,2
edtech-api,com.edtech.service,LocalStorageServiceImpl,15,7,0,0,5,2,3,2,3,2
edtech-api,com.edtech.service,ProjectService,0,231,1,13,0,56,1,15,0,9
edtech-api,com.edtech.service,DuplicateEmailException,0,4,0,0,0,2,0,1,0,1
edtech-api,com.edtech.service,RecoveryService,5,148,6,10,3,36,6,7,0,5
edtech-api,com.edtech.service,EmailService,9,108,0,0,4,30,0,4,0,4
edtech-api,com.edtech.service,TwoFactorAuthService,42,28,0,0,13,7,3,1,3,1
edtech-api,com.edtech.dto,ProjectMemberRequestDto,0,17,0,0,0,7,0,5,0,5
edtech-api,com.edtech.dto,RecoveryRequestDto,0,6,0,0,0,1,0,1,0,1
edtech-api,com.edtech.dto,CommentRequestDto,10,0,0,0,4,0,3,0,3,0
edtech-api,com.edtech.dto,AuditLogResponseDto,30,0,0,0,1,0,1,0,1,0
edtech-api,com.edtech.dto,AddProjectMemberDto,17,0,0,0,7,0,5,0,5,0
edtech-api,com.edtech.dto,UserResponseDto,0,38,0,0,0,8,0,2,0,2
edtech-api,com.edtech.dto,ResetPasswordDto,0,12,0,0,0,1,0,1,0,1
edtech-api,com.edtech.dto,ProjectResponseDto,0,38,0,0,0,16,0,11,0,11
edtech-api,com.edtech.dto,RegisterRequestDto,0,15,0,0,0,1,0,1,0,1
edtech-api,com.edtech.dto,ComplianceStatsDto,0,52,0,0,0,22,0,15,0,15
edtech-api,com.edtech.dto,CommentResponseDto,38,0,0,0,16,0,11,0,11,0
edtech-api,com.edtech.dto,LoginRequestDto,0,9,0,0,0,1,0,1,0,1
edtech-api,com.edtech.dto,AuthResponseDto,0,9,0,0,0,1,0,1,0,1
edtech-api,com.edtech.dto,VerifyCodeDto,0,9,0,0,0,1,0,1,0,1
edtech-api,com.edtech.dto,DocumentResponseDto,0,66,0,0,0,28,0,19,0,19
edtech-api,com.edtech.dto,ErrorResponse,0,9,0,0,0,1,0,1,0,1
edtech-api,com.edtech.dto,DocumentStatusUpdateDto,11,15,0,0,5,6,3,3,3,3
edtech-api,com.edtech.dto,ProjectRequestDto,0,17,0,0,0,7,0,5,0,5
edtech-api,com.edtech.dto,UpdateDocumentStatusRequest,9,0,0,0,1,0,1,0,1,0
edtech-api,com.edtech.dto,Verify2FaLoginDto,12,0,0,0,1,0,1,0,1,0
edtech-api,com.edtech.dto,AuditLogDto,6,53,0,0,2,23,2,15,2,15
edtech-api,com.edtech.dto,ComplianceStatsDto.PolicyDto,0,31,0,0,0,13,0,9,0,9
edtech-api,com.edtech.dto,LoginResponseDto,15,0,0,0,1,0,1,0,1,0
edtech-api,com.edtech.config,WebMvcConfig,0,4,0,0,0,2,0,2,0,2
edtech-api,com.edtech.config,SecurityConfig,0,235,0,0,0,52,0,12,0,12
edtech-api,com.edtech.config,DatabaseSeeder,4,155,2,2,1,40,2,4,0,4
edtech-api,com.edtech.config,MigrationExitRunner,5,9,1,1,2,3,1,2,0,2
edtech-api,com.edtech.config,JwtAuthenticationEntryPoint,0,24,0,0,0,7,0,2,0,2
edtech-api,com.edtech.config,RequestTracingFilter,31,3,4,0,9,1,3,1,1,1
edtech-api,com.edtech.config,AppConfig,0,12,0,0,0,3,0,3,0,3
edtech-api,com.edtech.config,WebSocketConfig,0,48,0,0,0,7,0,3,0,3
edtech-api,com.edtech.config,GcsConfig,32,0,4,0,9,0,4,0,2,0
edtech-api,com.edtech.config,JwtAuthenticationFilter,0,146,3,19,0,35,3,15,0,7
edtech-api,com.edtech.config,DataSeeder,387,25,1,1,94,9,2,2,1,2
edtech-api,com.edtech,EdTechApplication,5,3,0,0,2,1,1,1,1,1
edtech-api,com.edtech.controller,AuditController,127,179,19,19,31,46,15,12,2,5
